sqft_living,sqft_lot,floors,view,sqft_above,sqft_basement,price,yr_built
1180,5650,1,0,1180,0,221900,1955
2570,7242,2,0,2170,400,538000,1951
770,10000,1,0,770,0,180000,1933
1960,5000,1,0,1050,910,604000,1965
1680,8080,1,0,1680,0,510000,1987
5420,101930,1,0,3890,1530,1.23E+06,2001
1715,6819,2,0,1715,0,257500,1995
1060,9711,1,0,1060,0,291850,1963
1780,7470,1,0,1050,730,229500,1960
1890,6560,2,0,1890,0,323000,2003
3560,9796,1,0,1860,1700,662500,1965
1160,6000,1,0,860,300,468000,1942
1430,19901,1.5,0,1430,0,310000,1927
1370,9680,1,0,1370,0,400000,1977
1810,4850,1.5,0,1810,0,530000,1900
2950,5000,2,3,1980,970,650000,1979
1890,14040,2,0,1890,0,395000,1994
1600,4300,1.5,0,1600,0,485000,1916
1200,9850,1,0,1200,0,189000,1921
1250,9774,1,0,1250,0,230000,1969
1620,4980,1,0,860,760,385000,1947
3050,44867,1,4,2330,720,2.00E+06,1968
2270,6300,2,0,2270,0,285000,1995
1070,9643,1,0,1070,0,252700,1985
2450,6500,2,0,2450,0,329000,1985
1710,4697,1.5,0,1710,0,233000,1941
2450,2691,2,0,1750,700,937000,1915
1400,1581,1.5,0,1400,0,667000,1909
1520,6380,1,0,790,730,438000,1948
2570,7173,2,0,2570,0,719000,2005
2320,3980,2,0,2320,0,580500,2003
1190,1265,3,0,1190,0,280000,2005
2330,5000,1.5,0,1510,820,687500,1929
1090,3000,1.5,0,1090,0,535000,1929
2060,6659,1,0,1280,780,322500,1981
2300,3060,1.5,0,1510,790,696000,1930
1660,34848,1,0,930,730,550000,1933
2360,6000,2,0,2360,0,640000,1904
1220,8075,1,0,890,330,240000,1969
2620,7553,2,0,2620,0,605000,1996
2570,5520,2,0,2570,0,625000,2000
4220,24186,1,0,2600,1620,775000,1984
3595,5639,2,0,3595,0,861990,2014
1570,2280,2,0,1570,0,685000,1922
1280,9656,1,0,920,360,309000,1959
3160,13603,2,0,3160,0,488000,2003
990,8528,1,0,990,0,210490,1966
2290,13416,2,0,2290,0,785000,1981
1250,5963,1,0,1250,0,450000,1953
2753,65005,1,2,2165,588,1.35E+06,1953
1190,9199,1,0,1190,0,228000,1955
3150,9134,1,0,1640,1510,345000,1966
1410,4080,1,0,1000,410,600000,1950
1980,8550,1,0,990,990,585000,1981
2730,6000,1.5,0,2130,600,920000,1927
2830,5000,2,0,2830,0,885000,1995
2250,4495,2,0,2250,0,292500,2008
2420,4750,2,0,2420,0,301000,2003
3250,14342,2,4,3250,0,951000,1968
1850,9976,2,0,1850,0,430000,1991
2150,21235,1,3,1590,560,650000,1959
1260,8400,1,0,1260,0,289000,1954
2519,8690,2,0,2519,0,505000,1973
1540,1044,3,0,1540,0,549000,2014
1660,6000,1,0,1110,550,425000,1979
2770,3809,1.5,0,1770,1000,317625,1925
2720,11049,2,0,2720,0,975000,1989
2240,4648,2,0,2240,0,287000,2005
1000,12070,1,0,1000,0,204000,1968
3200,20158,1,0,1600,1600,1.33E+06,1965
4770,50094,1,0,3070,1700,1.04E+06,1973
1260,5612,1,0,1260,0,325000,1972
2750,7807,1.5,0,2250,500,571000,1916
2380,5000,2,0,2380,0,360000,2005
1790,50529,1,0,1090,700,349000,1965
3430,35102,2,0,2390,1040,832500,1986
1760,7300,1,0,880,880,380000,1956
1040,5060,1,0,1040,0,480000,1941
1410,5060,1,0,910,500,410000,1956
3450,39683,2,0,3450,0,720000,2002
2350,5100,2,0,2350,0,390000,2003
1900,5889,2,0,1900,0,360000,1992
2020,6720,1,0,1010,1010,355000,1948
1680,8712,1,0,1680,0,356000,1964
960,6634,1,0,960,0,315000,1952
2140,3600,2,0,1900,240,940000,1925
2660,8400,1.5,0,2660,0,305000,1961
2770,6278,2,0,1980,790,461000,2006
1610,2040,2,0,1610,0,215000,1979
1030,1066,2,0,765,265,335000,2006
1980,7403,2,0,1980,0,243500,1988
3520,6353,2,0,3520,0,1.10E+06,2001
1200,10500,1,0,1200,0,153000,1962
1580,5000,1,0,1290,290,430000,1939
1580,5000,1,0,1290,290,700000,1939
3300,10250,1,0,2390,910,905000,1946
1960,15681,1,0,1960,0,247500,1967
1160,6400,1,0,1160,0,199000,1975
1810,41800,1,0,1210,600,314000,1980
2320,36847,2,2,2320,0,437500,1992
2070,13241,1.5,0,1270,800,850830,1910
1980,3478,1.5,0,1440,540,555000,1929
2190,107593,2,0,2190,0,699950,1983
2920,8113,2,0,2920,0,1.09E+06,1950
1210,33919,1,0,1210,0,290000,1954
2340,10005,1,0,1460,880,375000,1978
1670,4005,1.5,0,1170,500,460000,1939
1240,2493,1,0,1240,0,188500,1985
3140,28037,2,0,3140,0,680000,1991
2030,12342,2,0,2030,0,470000,1942
2310,9624,2,0,2310,0,597750,1984
1260,3328,1,0,700,560,570000,1905
1540,12600,1,0,1160,380,272500,1980
2080,5969,1,2,1080,1000,329950,1971
3230,16171,2,3,2520,710,480000,2001
4380,6350,2,0,2780,1600,740500,1900
1590,1102,3,0,1590,0,518500,2010
880,6780,1,0,880,0,205425,1945
1570,9600,1,0,1570,0,171800,1950
1610,2982,1.5,0,1610,0,535000,1925
2400,6474,1,2,1560,840,660000,1964
1450,9132,1,0,1450,0,391500,1987
770,6000,1,0,770,0,395000,1953
2100,4400,1.5,0,1720,380,445000,1924
2910,10204,2,0,2910,0,770000,1990
2750,17789,1.5,0,1980,770,1.45E+06,1914
2100,8201,1,2,1620,480,445000,1967
2160,8811,1,0,1360,800,260000,1978
2320,4960,2,0,1720,600,822500,1926
2070,4310,2,0,2070,0,430000,2004
1060,7875,1,0,1060,0,212000,1986
2010,9603,1,0,1440,570,660500,1986
3950,111078,1.5,0,2460,1490,784000,1989
2010,2287,2,0,1390,620,453246,2014
2140,2278,3,0,2140,0,675000,2005
1320,17390,1,0,1320,0,199000,1956
2020,7840,1,0,1010,1010,220000,1968
2590,10002,1,0,1340,1250,452000,1968
1190,4440,1,0,1190,0,382500,1981
1170,1249,3,0,1170,0,519950,2014
1110,3200,1,0,1110,0,665000,1925
2820,9375,1,0,1550,1270,527700,1968
1610,8579,1,0,1010,600,205000,1962
1060,8097,1,0,940,120,420000,1923
2030,8517,1,0,1380,650,500000,1961
3670,315374,2,0,3670,0,921500,1994
2550,4000,2,0,2370,180,890000,1905
2420,60984,2,0,2420,0,430000,2007
2260,12500,1,0,1130,1130,258000,1960
1430,3455,1,0,980,450,511000,1947
1360,3090,2,0,1360,0,532170,1990
1110,5000,1.5,0,1110,0,560000,1947
1250,8200,1,0,1250,0,282950,1954
5180,19850,2,3,3540,1640,2.25E+06,2006
700,5100,1,0,700,0,350000,1942
1180,7669,1,0,1180,0,215000,1967
3960,25245,2,0,2500,1460,650000,1996
2640,7500,1,0,1620,1020,320000,1967
1270,7198,1.5,0,1270,0,247000,1916
1760,11180,1,0,1760,0,320000,1968
2060,8632,1,0,1030,1030,255000,1962
1780,9660,1,0,1780,0,438000,1962
3400,16603,2,0,3400,0,900000,2000
1910,7280,1,0,1160,750,441000,1979
2020,38332,1,0,1010,1010,420000,1975
1580,7000,1,0,1180,400,370000,1976
1340,7250,1,0,700,640,269950,1949
2680,4499,2,0,2680,0,807100,1999
2680,9750,1,0,1610,1070,653000,1979
1370,8336,1,0,1370,0,371500,1964
1560,21000,1,0,1560,0,284000,1954
2160,7140,1,0,1670,490,272000,1978
1340,7912,1.5,0,1340,0,313000,1955
3880,35003,2,0,2570,1310,917500,1984
2590,8190,2,0,2590,0,673000,1980
1120,1100,2,0,820,300,425000,2008
1970,5400,1,0,1320,650,399950,1986
1220,4800,1,0,1220,0,385000,1901
1950,7560,1,2,1320,630,269950,1975
1350,8220,1,0,1060,290,330000,1949
1670,5797,2,0,1670,0,260000,1988
2380,5125,1.5,0,1680,700,470000,1925
2440,9600,2,0,2440,0,589000,1961
1050,3419,2,0,1050,0,163500,1996
3130,13412,2,0,2140,990,835000,1993
4090,12850,1,2,2090,2000,1.10E+06,1986
1490,10000,1,0,1100,390,269000,1969
1900,8744,2,0,1900,0,560000,1987
1330,2400,1.5,0,1330,0,615000,1901
2230,10026,1,0,1430,800,585188,1975
1650,9480,1,0,1220,430,305000,1977
1190,8820,1,0,1190,0,166950,1959
2140,9897,1,0,2140,0,799000,1959
2180,7508,1,0,1420,760,400000,1962
1060,10228,1,0,1060,0,230000,1948
1690,5025,2,0,1690,0,256883,2003
1970,6480,1.5,0,1130,840,423000,1920
2150,4084,2,0,2150,0,465000,2007
1910,66211,2,0,1910,0,440000,1997
1350,155073,1,0,1350,0,385000,1969
860,11725,1,0,860,0,210000,1943
1940,14952,2,0,1940,0,297000,1994
1010,5000,1,0,1010,0,470000,1952
1300,7370,1,0,900,400,226500,1976
910,8450,1,0,910,0,274250,1962
2480,11010,1,0,1630,850,840000,1966
2440,4587,2,0,2440,0,677900,2010
1010,5864,1,0,1010,0,425000,1915
900,9600,1,0,900,0,180250,1941
2300,3404,2,0,1600,700,464000,1920
1550,7579,2,0,1550,0,320000,1993
1270,1566,2,0,1060,210,625504,2014
2240,12032,1,0,2240,0,592500,1983
2714,17936,2,0,2714,0,465000,2005
1720,6270,2,0,1720,0,477000,1978
850,16400,1,0,850,0,280000,1923
3300,33474,1,3,1870,1430,1.51E+06,1957
2250,5692,2,0,2250,0,445838,2000
3900,14864,1,3,1950,1950,1.07E+06,1947
1320,10800,1,0,1320,0,467000,1947
2760,6440,2,0,2760,0,686000,1999
1750,9750,1,0,1350,400,279950,1961
2330,19436,2,0,2330,0,527000,1987
2220,16020,1,0,1780,440,325000,1966
2020,8379,2,0,2020,0,328000,1994
1250,7500,1,0,1250,0,390000,1942
1510,6516,1,0,1510,0,479950,2005
1720,9753,1,0,1120,600,264950,1978
1430,15246,1,0,980,450,235000,1961
1480,4729,2,0,1480,0,516500,2004
1450,15798,2,4,1230,220,655000,1915
2280,15347,1,0,2280,0,500000,1960
2940,7350,1,0,1780,1160,315000,1978
1000,10200,1,0,1000,0,213000,1961
2480,5280,1.5,0,1620,860,475000,1947
3760,28040,2,0,3760,0,1.03E+06,1983
2220,94300,1,0,1640,580,416000,1976
1970,4740,1.5,0,1670,300,410000,1904
3830,221284,2,0,3530,300,800000,1993
4410,14034,1,2,2350,2060,472000,1965
1430,8505,1,0,1430,0,225000,1968
830,6000,1,0,830,0,210000,1940
1430,5000,1.5,0,1430,0,455000,1925
1300,8316,1,0,1300,0,225000,1954
1030,3060,1,2,790,240,480000,1918
2740,11872,2,0,2740,0,363000,1990
3650,8354,1,4,1830,1820,2.40E+06,2000
720,5120,1,0,720,0,181000,1954
2010,7312,1,0,2010,0,250000,1976
1560,3000,1,0,770,790,481000,1918
1810,7209,1,0,1240,570,260000,1978
3360,7685,2,0,3360,0,455000,2001
1510,36224,2,0,1510,0,415000,1991
1400,3538,1,0,800,600,349500,1953
1730,7442,2,0,1730,0,245000,1987
1420,9191,1.5,2,1420,0,592500,1928
2360,7620,1,0,1180,1180,385000,1955
1580,11455,1,0,1200,380,315000,1974
1230,10170,1,0,1230,0,255000,1979
2460,4425,2,0,2460,0,693000,2006
1660,4400,1.5,0,1460,200,780000,1911
1270,8470,1,0,1270,0,237000,1960
2100,40510,2,0,1320,780,525000,1979
770,5040,1,0,770,0,425000,1930
760,10079,1,4,760,0,369900,1936
1700,7280,2,0,1700,0,290000,1988
1120,10701,1,0,1120,0,285000,1954
1070,4500,1,0,1070,0,415000,1937
2070,9900,1,0,1420,650,272500,1979
5050,20100,1.5,2,4750,300,2.90E+06,1982
5310,57346,2,0,5310,0,1.37E+06,1989
1040,7538,1,0,1040,0,436000,1939
1700,11390,1,0,1700,0,210000,1967
1300,5898,1,0,1300,0,236000,1961
1080,1306,1,0,580,500,331000,1954
2653,4510,2,0,2653,0,365000,2006
2290,16258,1,0,2290,0,450000,1960
3820,26300,2,0,2850,970,770000,2014
2210,49375,1,0,2210,0,455000,1997
2390,6000,1,0,1240,1150,405000,1908
2600,11325,1,0,1610,990,304900,1969
860,5265,1,0,860,0,170000,1931
3830,8480,2,1,2630,1200,2.05E+06,1905
3500,7048,2,0,3500,0,780000,2005
2420,13959,1,0,1740,680,330000,1988
2720,8666,2,0,2720,0,370000,1992
2500,13500,1,0,1850,650,467000,1979
1670,6720,1,0,1140,530,405000,1980
2900,10300,1,0,1450,1450,675000,1985
1640,14100,1,0,1140,500,500000,1954
